0001-0150-0218,0001-0081-0091,0001-0173-0157,0001-0145-0133,0001-0153-0130,0002-0119-0167,0002-0192-0036,Average,Err
696.932,719.319,387.406,381.050,350.281,393.000,418.554,478.077,55.484
695.616,731.254,389.656,409.075,329.045,375.538,456.495,483.811,56.598
692.677,727.261,392.675,401.400,353.483,368.081,464.069,485.664,55.094
683.967,723.594,385.869,375.887,326.708,390.594,431.347,473.995,56.106
684.450,718.420,384.981,407.325,320.685,393.494,482.287,484.520,54.526
703.316,736.717,391.788,369.775,330.236,383.562,464.287,482.812,58.489
681.045,682.123,392.512,405.762,330.169,404.119,450.129,477.980,50.206
682.712,711.449,390.556,413.562,336.337,379.012,470.178,483.401,53.055
692.681,737.196,375.087,410.488,339.888,382.012,473.762,487.302,56.446
694.410,777.449,385.594,380.712,337.022,387.000,437.406,485.656,61.262
696.572,700.565,395.625,373.387,330.978,404.306,417.851,474.184,54.511
691.445,724.457,350.644,407.075,335.045,402.113,413.485,474.895,56.756
679.195,724.848,380.894,397.762,342.067,382.750,454.792,480.330,54.461
690.702,703.667,371.675,402.575,327.742,386.863,454.891,476.873,54.318
693.112,755.072,361.681,378.337,334.067,395.325,451.653,481.321,59.706
693.190,728.674,361.344,396.038,329.888,384.375,460.594,479.157,57.226
686.428,738.971,375.906,389.562,330.236,378.156,435.713,476.425,57.741
675.045,727.710,371.087,382.725,345.225,369.694,388.960,465.778,56.772
694.660,749.442,381.956,386.613,340.371,402.700,396.050,478.827,58.819
686.284,730.942,383.625,405.650,329.157,383.087,427.594,478.049,56.280
677.747,747.123,372.887,395.938,317.472,383.850,448.455,477.639,58.137
686.982,760.645,407.619,413.225,326.753,388.919,446.782,490.132,57.759
671.497,713.355,386.062,402.262,341.427,372.994,453.842,477.349,52.931
688.428,736.594,376.988,383.325,336.933,382.775,480.396,483.634,56.976
678.118,717.696,367.688,402.988,325.180,380.719,476.228,478.374,54.980
678.777,706.543,380.956,394.212,320.730,385.613,482.416,478.464,53.884
685.007,693.667,382.919,421.200,347.146,381.156,411.198,474.613,52.004
681.403,716.862,368.569,388.413,329.876,384.587,426.446,470.879,55.586
677.848,709.841,383.650,407.100,337.404,388.169,458.931,480.420,52.640
684.346,709.565,371.994,410.975,333.551,378.781,479.535,481.249,53.940
683.050,760.587,363.306,392.337,346.528,372.562,468.901,483.896,59.011
687.694,715.152,379.012,417.712,329.056,386.094,504.089,488.401,54.248
692.478,700.435,372.044,420.062,336.820,377.100,479.416,482.622,53.457
688.109,763.862,359.894,412.837,331.607,397.419,453.535,486.752,59.255
682.287,738.826,352.738,417.637,324.843,382.231,477.911,482.353,57.427
692.204,720.022,381.581,367.288,334.978,377.850,477.168,478.727,56.513
681.993,752.891,382.006,408.212,331.596,381.650,445.624,483.425,57.645
688.216,755.601,361.288,395.837,332.348,380.875,409.822,474.855,60.077
693.954,700.246,384.694,416.475,339.045,381.725,454.990,481.590,52.980
697.064,732.493,376.781,386.725,332.360,379.569,481.693,483.812,57.500
695.892,743.565,372.856,417.950,349.843,391.400,461.010,490.359,56.389
685.999,719.196,385.519,410.613,312.315,365.962,477.238,479.549,56.156
680.271,725.000,378.719,395.363,343.393,373.800,488.911,483.637,54.862
695.721,697.029,368.425,403.438,336.146,375.194,493.426,481.340,54.172
683.768,761.783,374.431,404.887,328.899,369.587,465.129,484.069,59.391
690.100,712.210,363.538,386.712,321.528,387.881,429.366,470.191,56.391
691.448,724.420,381.125,413.350,316.427,390.650,449.198,480.945,56.125
694.702,709.855,368.106,389.525,329.416,375.156,467.396,476.308,55.946
