0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
323.330,371.166,736.984,534.557,1635.697,956.706,759.740,182.480
322.721,359.182,737.827,549.377,1499.455,904.353,728.819,163.173
323.494,365.117,765.740,520.042,1416.717,982.838,728.991,156.280
319.476,358.996,794.346,545.222,1533.879,966.015,752.989,170.229
323.838,358.291,820.441,541.766,1524.636,910.603,746.596,167.428
327.558,378.243,788.079,559.198,1557.111,925.971,756.026,169.697
319.496,361.951,814.787,560.371,1546.919,991.779,765.884,172.248
320.731,371.235,789.260,565.766,1470.020,1099.176,769.365,166.777
326.506,366.794,825.677,557.587,1629.626,1137.985,807.363,188.081
322.825,375.534,864.646,536.964,1659.071,1065.059,804.016,189.253
325.491,377.611,905.157,580.737,1659.131,1065.971,819.016,187.778
320.800,376.134,897.591,615.437,1688.758,1092.103,831.804,191.632
326.474,385.130,875.748,602.341,1709.101,1159.971,843.127,196.217
328.326,369.911,902.819,610.186,1763.586,1127.721,850.425,202.395
333.042,387.069,950.134,624.168,1670.949,1198.000,860.560,192.712
325.698,390.190,939.008,645.108,1709.717,1258.574,878.049,199.830
330.217,380.494,996.984,635.485,1702.222,1228.676,879.013,198.806
328.393,386.170,983.654,674.749,1772.596,1284.309,904.978,207.997
330.640,394.182,1049.071,661.581,1789.061,1327.250,925.297,212.670
329.531,388.717,998.220,678.359,1834.141,1432.103,943.512,222.986
331.829,403.445,1106.693,698.599,1748.343,1402.456,948.561,211.520
330.716,407.951,1055.559,706.341,1824.283,1418.853,957.284,219.325
330.299,394.611,1137.126,706.802,1834.990,1439.441,973.878,223.978
330.951,413.255,1160.118,744.371,1792.081,1568.029,1001.468,225.642
335.231,417.887,1115.984,745.916,1976.535,1601.029,1032.097,245.372
331.614,403.615,1130.819,752.503,1869.859,1551.794,1006.701,232.238
329.373,417.887,1113.213,769.275,1828.970,1512.500,995.203,223.877
335.931,421.530,1143.748,769.677,1896.646,1608.324,1029.309,236.773
333.395,436.413,1082.008,749.581,1843.424,1666.441,1018.544,234.809
334.057,437.320,1166.835,844.946,1841.212,1706.250,1055.103,235.712
333.637,448.984,1188.094,805.036,1948.061,1734.397,1076.368,248.563
336.425,439.320,1187.008,846.892,1980.485,1773.779,1093.985,253.870
336.742,466.798,1161.441,866.671,1891.667,1710.956,1072.379,237.881
338.633,450.474,1185.142,894.766,2004.182,1851.368,1120.761,259.831
339.004,472.045,1225.260,889.719,1997.626,1914.824,1139.746,263.183
334.545,488.543,1170.614,865.174,1999.657,1860.676,1119.868,258.499
339.093,470.874,1196.417,924.814,2086.667,1917.691,1155.926,270.705
339.047,526.377,1202.039,918.557,2063.202,1997.324,1174.424,271.372
334.159,491.980,1245.480,895.395,1991.343,1848.824,1134.530,256.434
338.261,498.862,1163.661,915.198,2161.364,1999.088,1179.406,282.687
342.533,503.032,1226.961,964.192,2048.980,2006.588,1182.048,271.148
337.329,517.308,1198.945,947.898,2066.596,2045.765,1185.640,275.827
334.149,532.530,1193.252,951.719,2013.040,2082.368,1184.510,273.611
330.441,530.753,1187.331,967.844,2085.000,1974.206,1179.263,270.705
332.458,568.490,1222.488,1002.904,2120.020,2123.632,1228.332,283.113
330.117,558.984,1185.654,1014.743,2143.121,2116.250,1224.811,285.162
338.606,575.385,1257.866,1043.275,2147.475,1978.809,1223.569,271.875
338.558,558.247,1227.654,1020.395,2020.394,2165.353,1221.767,278.341
339.607,581.858,1210.449,1034.311,2088.202,2258.279,1252.118,290.713
337.046,589.538,1284.882,1087.275,2136.626,2115.853,1258.537,280.513
336.462,614.251,1230.331,1076.449,2182.364,2288.426,1288.047,298.523
334.985,610.874,1252.425,1091.371,2109.505,2251.618,1275.130,289.113
340.189,638.506,1212.504,1119.275,2210.111,2202.118,1287.117,290.605
336.724,646.397,1236.150,1068.353,2179.737,2267.353,1289.119,294.479
335.575,644.623,1279.622,1093.719,2218.000,2231.118,1300.443,294.029
340.563,638.101,1253.630,1065.880,2198.444,2368.074,1310.782,305.636
338.734,660.413,1302.102,1135.054,2198.566,2415.721,1341.765,307.413
338.940,642.360,1229.701,1082.156,2213.960,2325.706,1305.470,302.570
340.759,646.474,1333.378,1186.036,2252.838,2417.647,1362.855,311.567
337.099,674.409,1219.283,1081.299,2232.949,2390.500,1322.590,308.644
340.289,682.765,1274.472,1113.784,2162.636,2407.368,1330.219,302.870
337.150,631.040,1225.890,1157.850,2158.404,2322.515,1305.475,297.326
343.874,670.061,1240.835,1147.749,2208.949,2458.882,1345.058,311.569
337.725,690.235,1247.551,1186.144,2261.980,2377.235,1350.145,306.606
347.316,669.255,1233.819,1137.335,2277.606,2447.691,1352.170,315.914
347.865,684.178,1207.031,1173.240,2208.980,2563.735,1364.171,320.983
349.749,701.514,1299.441,1139.467,2204.121,2394.824,1348.186,302.263
334.787,675.121,1260.047,1156.102,2303.343,2286.544,1335.991,303.526
344.184,695.105,1261.126,1162.623,2275.061,2434.691,1362.132,312.471
341.036,725.061,1271.606,1117.988,2312.101,2555.824,1387.269,326.592
345.988,742.830,1232.850,1157.605,2223.121,2607.397,1384.965,323.328
346.001,763.146,1336.669,1201.587,2370.455,2635.676,1442.256,334.076
341.993,757.575,1309.213,1224.569,2383.515,2668.618,1447.580,338.880
350.685,763.595,1273.787,1251.335,2355.768,2583.162,1429.722,327.116
344.349,765.008,1315.661,1264.030,2261.010,2482.662,1405.453,309.863
345.540,789.789,1253.913,1240.311,2319.394,2553.353,1417.050,320.800
340.852,796.709,1356.307,1236.695,2287.364,2672.044,1448.328,329.386
345.627,811.773,1277.961,1193.359,2221.384,2587.559,1406.277,316.229
348.924,802.798,1284.079,1250.222,2281.798,2504.103,1411.987,311.494
339.597,802.988,1232.512,1211.096,2285.828,2568.279,1406.717,320.326
