0050-0038,0075-0050,0075-0065,0038-0040,0036-0084,Average,Err
624.281,924.179,1450.583,980.293,1233.136,1042.494,125.802
597.545,843.556,1408.076,993.237,1257.821,1020.047,129.225
598.107,967.901,1457.214,974.847,1220.556,1043.725,128.267
590.978,846.013,1345.438,984.408,1198.475,993.062,118.276
604.949,879.632,1392.719,1015.341,1208.846,1020.298,121.091
593.736,939.435,1369.281,1017.934,1273.364,1038.750,122.087
663.629,950.202,1468.766,1031.937,1283.728,1079.652,124.123
633.944,935.314,1421.799,992.638,1254.043,1047.548,121.554
633.663,941.220,1377.781,1033.432,1257.512,1048.722,115.920
615.933,961.821,1415.214,1075.024,1257.327,1065.064,121.991
598.854,864.915,1294.500,1001.899,1239.802,999.994,113.737
559.556,884.843,1352.221,977.481,1173.377,989.496,120.221
592.006,872.049,1332.560,1003.049,1270.821,1014.097,120.961
603.624,873.695,1356.997,1019.348,1223.525,1015.438,118.264
613.860,875.596,1398.854,980.418,1268.031,1027.352,125.244
603.809,839.256,1387.878,993.003,1181.802,1001.150,121.054
637.135,854.498,1349.781,1033.819,1244.969,1024.040,115.491
605.635,856.619,1328.995,1009.885,1223.031,1004.833,115.593
601.910,869.578,1335.159,979.993,1201.315,997.591,114.667
566.197,852.785,1361.193,951.648,1148.302,976.025,120.296
613.146,878.457,1349.982,1000.756,1167.889,1002.046,112.264
603.365,873.726,1369.188,988.164,1111.907,989.270,113.429
590.938,856.251,1344.253,1007.338,1155.963,990.949,114.974
589.590,812.161,1271.310,1001.725,1150.049,964.967,108.390
620.225,843.830,1335.823,998.108,1132.765,986.150,109.191
635.955,818.265,1332.812,992.784,1213.321,998.627,113.467
606.764,822.247,1299.568,1021.742,1155.167,981.097,109.313
587.039,846.726,1343.383,1016.258,1199.049,998.491,118.628
621.404,820.009,1342.326,1009.721,1130.216,984.735,111.140
613.410,801.036,1323.833,959.369,1136.685,966.867,111.131
617.629,847.296,1307.924,989.265,1174.222,987.267,108.444
589.146,832.978,1269.198,1006.540,1153.062,970.185,107.367
593.865,832.220,1266.805,956.951,1202.019,970.372,110.010
568.607,787.040,1344.534,989.895,1096.981,957.412,118.422
598.090,830.067,1310.792,979.059,1147.173,973.036,110.537
632.371,844.233,1301.792,1010.993,1132.500,984.378,103.334
596.539,774.969,1356.505,1039.125,1161.136,985.655,121.158
619.916,845.493,1304.237,1009.721,1118.691,979.612,104.499
