0059-0047,0036-0041,0036-0055,0020-0009,0038-0115,0052-0095,0075-0096,0103-0061,0102-0035,0089-0037,0063-0028,0035-0012,0075-0069,0034-0017,Average,Err
722.628,437.175,325.307,285.638,474.808,433.453,273.455,281.171,274.565,285.337,330.848,334.081,262.000,377.657,364.152,31.987
718.641,452.327,331.406,275.638,460.389,437.972,272.468,277.732,287.671,278.458,354.715,351.221,272.676,369.229,367.182,31.513
697.786,446.430,302.861,283.429,457.503,463.585,269.987,277.159,277.647,277.952,357.436,341.294,268.176,303.229,358.891,31.250
653.026,428.644,302.992,265.314,472.569,409.670,272.147,289.841,268.941,276.759,350.091,325.103,258.809,309.000,348.779,28.409
650.791,438.343,309.512,276.571,495.257,396.066,280.442,289.476,273.176,276.000,348.503,328.404,271.625,316.029,353.585,28.212
642.192,450.282,305.254,277.200,473.838,407.245,269.776,295.549,284.718,286.723,350.588,326.684,268.044,327.800,354.707,27.336
608.126,447.909,304.193,273.429,446.982,428.717,272.981,281.427,285.329,264.880,351.067,324.500,263.846,319.200,348.042,25.834
633.385,442.495,309.791,284.343,453.359,404.755,270.776,306.646,262.635,257.289,351.367,317.331,264.882,320.143,348.514,26.919
586.086,446.537,300.369,286.362,473.754,374.274,274.500,285.085,279.282,274.241,352.142,323.566,264.456,325.629,346.163,24.384
596.852,437.401,306.947,265.029,511.737,394.425,272.647,269.854,289.188,272.747,352.370,327.346,261.794,327.800,349.010,26.403
571.273,430.249,301.041,278.733,470.497,389.406,274.840,273.317,275.635,279.434,348.136,305.228,261.434,342.514,342.981,23.712
575.046,435.087,294.578,284.314,463.521,432.670,281.712,292.634,260.118,272.410,345.970,316.971,264.368,316.543,345.424,24.360
