0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
327.962,604.667,448.217,336.027,407.674,406.764,377.721,374.074,351.036,434.139,438.481,529.668,283.518,339.837,374.707,958.270,314.492,387.550,274.930,419.460,34.192
327.492,572.597,437.925,340.199,425.910,431.036,352.468,371.819,332.914,449.351,418.781,498.358,290.807,353.087,360.288,999.380,337.351,368.775,293.349,419.047,35.151
318.082,590.949,438.734,339.398,415.494,391.709,350.099,388.809,321.914,453.257,416.106,510.727,274.553,355.615,357.723,1042.060,326.346,396.650,264.372,418.558,38.017
346.634,613.982,445.925,338.982,414.607,402.418,376.550,383.521,344.286,436.272,411.850,511.834,276.123,359.115,356.356,1065.125,290.730,383.975,254.070,421.703,39.331
329.639,643.147,442.182,339.244,419.865,444.800,362.135,377.968,331.000,451.644,431.119,531.107,283.474,353.173,359.346,1041.960,311.973,346.350,254.907,423.949,39.024
347.142,626.125,451.385,348.563,428.517,438.400,371.333,360.202,335.593,435.500,435.394,511.840,285.307,323.817,357.890,1064.850,314.984,381.325,267.047,425.538,39.340
340.437,652.454,444.461,344.569,399.966,397.109,376.577,416.830,344.436,485.322,422.075,502.610,296.614,368.827,358.366,1032.490,316.805,380.400,275.744,429.268,37.750
323.956,630.399,456.445,342.301,380.360,402.055,344.027,369.064,338.350,438.807,459.131,506.936,286.763,372.981,352.272,1068.125,320.616,349.475,270.326,421.705,39.703
338.421,622.392,439.522,338.587,423.281,428.545,356.739,381.862,337.729,466.881,428.656,528.904,286.281,356.365,374.063,1036.195,312.816,374.500,271.349,426.478,37.941
346.798,599.480,449.033,345.651,404.618,398.455,361.306,379.000,328.907,462.594,441.806,518.925,272.325,380.462,368.770,986.980,324.719,362.725,301.023,422.820,35.069
338.831,628.253,436.330,331.557,400.719,366.982,372.225,358.234,330.493,433.475,444.081,500.636,287.561,377.875,353.435,1040.190,323.832,362.125,260.163,418.263,38.283
343.301,638.982,441.977,343.714,414.348,402.182,388.153,373.191,345.357,469.886,453.531,517.439,269.018,356.375,367.120,1020.640,318.384,345.800,289.465,426.256,37.398
343.131,614.821,447.723,333.503,427.483,403.055,365.324,358.798,348.979,464.520,445.038,530.465,296.447,356.808,341.120,1034.170,324.043,372.375,271.395,425.221,37.762
315.967,600.297,438.088,332.509,402.876,360.709,363.541,373.723,338.029,449.054,438.962,517.775,287.886,347.692,350.230,1004.745,326.038,344.600,262.488,413.432,36.688
362.803,614.799,436.290,346.310,406.045,383.400,389.198,361.394,342.007,449.173,444.812,520.091,281.088,364.952,341.361,1003.095,315.416,339.225,283.186,420.245,36.277
345.678,607.381,439.797,338.286,428.461,426.018,364.063,360.511,354.671,446.183,427.825,499.925,286.035,356.298,361.555,954.450,329.568,354.450,282.070,419.117,33.636
325.399,584.989,432.561,331.373,405.090,441.764,395.171,378.372,332.736,466.693,427.106,503.241,260.561,352.856,361.743,980.640,316.892,373.350,270.442,417.946,35.178
341.448,631.011,446.759,344.675,432.584,396.527,384.577,381.245,332.014,448.787,401.369,479.241,266.877,369.808,368.031,1017.740,304.816,341.625,265.558,418.668,37.297
349.366,644.623,445.977,343.181,403.910,394.327,358.739,365.149,348.879,443.649,426.087,532.449,285.623,377.635,368.702,985.060,342.741,366.000,268.860,423.734,35.745
