0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
447.808,355.656,521.126,446.186,559.808,759.691,515.046,51.790
449.930,334.903,484.063,447.461,535.848,721.809,495.669,48.060
447.132,334.340,456.402,476.749,558.434,702.074,495.855,46.196
457.260,352.437,443.551,461.641,585.141,718.529,503.093,48.076
459.219,344.899,465.866,420.509,566.485,741.529,499.751,51.629
437.809,344.462,448.866,438.353,568.869,733.441,495.300,50.985
454.877,331.980,439.417,435.844,547.838,695.544,484.250,46.275
454.045,360.846,453.638,458.683,572.010,689.088,498.052,42.898
449.498,339.364,451.921,456.623,574.667,686.721,493.132,44.939
463.276,346.680,434.661,449.030,555.576,664.397,485.603,41.026
443.971,358.931,408.583,446.725,528.586,733.853,486.775,49.635
453.001,371.846,442.677,470.605,534.343,685.235,492.951,40.130
464.690,371.696,457.764,463.084,568.020,762.235,514.582,50.819
467.462,373.721,456.087,463.156,612.394,786.662,526.580,55.493
449.553,373.891,436.346,442.012,559.283,675.809,489.482,40.696
461.192,405.700,445.795,455.443,553.848,717.074,506.509,42.521
463.603,429.773,448.110,460.904,557.354,736.250,515.999,43.476
474.163,438.737,483.528,461.563,571.566,694.309,520.644,35.936
458.857,436.012,484.961,463.234,575.677,696.897,519.273,37.130
451.837,468.802,515.496,454.982,548.394,713.147,525.443,37.062
459.910,507.462,523.827,449.772,541.697,705.603,531.378,34.503
453.538,523.150,535.882,440.850,558.333,718.176,538.322,37.146
457.085,557.526,561.394,460.371,589.970,714.632,556.830,35.463
447.402,589.166,605.276,424.766,563.939,703.015,555.594,38.808
441.457,592.344,600.583,440.024,552.273,716.750,557.238,39.343
441.394,576.121,610.921,455.024,565.990,709.809,559.877,37.423
436.051,572.765,583.118,449.946,580.384,741.235,560.583,41.309
434.472,529.478,575.819,431.575,547.485,702.897,536.954,37.573
428.559,519.907,577.346,438.617,597.687,715.397,546.252,40.261
429.787,499.093,545.480,441.042,591.384,704.368,535.192,38.428
434.713,467.725,494.685,457.329,575.697,724.279,525.738,40.555
415.408,426.543,433.339,461.910,578.485,696.176,501.977,41.856
440.553,388.036,438.543,462.138,563.152,733.706,504.355,47.074
435.466,364.753,416.354,467.228,558.939,759.044,500.297,52.995
424.557,333.947,411.953,448.126,561.364,733.574,485.587,52.911
429.367,335.020,399.173,441.850,568.263,697.235,478.485,49.029
