0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
521.874,604.421,847.449,314.392,443.247,293.000,291.874,392.862,338.629,533.337,365.875,1258.460,458.307,777.115,723.696,290.230,468.281,385.525,417.605,511.904,54.661
504.770,596.941,850.581,318.386,455.169,311.418,295.414,371.277,366.993,516.916,357.113,1245.840,468.018,787.942,695.932,298.190,473.276,376.475,453.256,512.837,53.520
555.940,589.275,851.015,323.627,461.876,286.255,294.847,417.021,368.371,500.228,354.012,1255.005,466.868,767.885,726.529,300.695,477.157,365.650,458.558,516.885,53.905
546.781,588.769,844.417,323.449,474.225,302.000,292.450,384.404,353.850,525.401,360.725,1284.294,467.281,759.067,715.654,287.515,495.686,367.650,429.279,515.942,54.955
515.743,564.546,839.810,322.060,435.775,306.655,294.387,403.255,351.721,504.792,367.356,1264.433,464.105,812.875,682.586,294.960,466.011,338.500,421.442,507.948,54.580
531.219,572.484,826.541,317.142,439.629,309.109,306.523,398.032,363.450,520.515,347.238,1230.973,474.947,806.615,689.921,288.290,458.941,361.550,468.581,511.142,52.788
509.536,577.125,818.773,321.232,449.461,306.418,307.514,393.989,357.850,507.847,358.613,1245.070,451.904,823.202,707.628,295.260,457.027,368.200,408.628,508.699,53.706
522.404,593.227,846.087,325.301,453.854,301.855,308.883,391.745,352.264,488.050,353.200,1223.930,465.588,813.962,707.953,294.980,458.038,372.750,457.953,512.212,53.120
510.393,598.670,836.998,325.380,479.303,314.418,302.396,400.915,362.129,505.252,371.700,1198.497,484.430,812.587,675.974,306.135,484.232,365.725,458.953,515.478,51.108
518.011,598.604,833.450,328.000,467.180,337.200,317.775,426.777,364.864,524.955,370.900,1216.508,488.649,792.288,719.665,291.815,467.670,357.400,408.698,517.390,51.757
508.940,579.568,848.593,313.711,473.348,325.091,311.099,394.287,348.964,527.871,360.944,1263.941,469.956,821.058,702.529,297.200,472.189,387.275,436.186,518.039,54.311
496.268,585.469,846.661,325.434,461.146,340.491,310.658,392.606,362.993,541.500,356.837,1215.230,437.009,782.731,713.969,293.375,447.595,382.200,462.977,513.429,51.884
546.503,605.941,856.484,323.994,476.124,326.436,304.514,392.032,364.529,503.807,365.925,1218.160,474.246,798.000,690.340,297.810,456.254,397.025,422.256,516.862,52.205
515.596,587.729,831.136,324.328,504.596,310.636,306.468,384.479,367.257,501.495,352.488,1203.872,480.263,786.481,697.545,307.960,473.714,346.575,439.140,511.671,51.398
529.137,600.927,824.445,331.681,526.067,339.000,322.297,376.787,356.250,521.604,360.350,1210.433,463.333,793.750,712.743,298.175,470.297,381.375,419.698,517.808,51.362
530.940,568.055,839.235,325.479,507.640,319.036,313.658,392.798,388.086,517.035,364.488,1189.390,467.596,844.587,703.419,295.680,450.914,369.675,392.791,514.763,51.736
512.885,614.289,831.228,334.226,514.933,350.673,318.640,395.628,364.343,518.554,361.825,1192.417,454.772,748.596,695.754,292.050,464.589,399.350,381.302,512.950,49.978
511.033,575.311,829.483,326.678,483.236,344.600,331.072,388.617,356.471,510.941,356.637,1228.968,456.684,819.587,696.461,289.635,468.200,389.075,406.767,514.182,52.301
542.175,572.875,849.767,341.500,490.966,303.345,307.919,394.319,347.514,523.109,371.994,1191.198,465.377,814.644,675.492,298.690,457.308,377.725,410.558,512.446,51.370
523.290,599.857,835.628,341.732,486.022,331.636,296.730,416.862,350.057,516.941,386.988,1212.476,453.728,806.279,707.749,290.145,468.595,350.925,403.535,514.693,52.095
544.257,592.341,845.980,331.627,511.787,344.218,317.000,409.064,376.679,527.728,362.075,1224.096,476.816,816.519,690.152,294.490,472.924,377.200,389.884,521.307,52.168
544.563,580.549,840.946,346.657,523.921,333.527,313.279,391.500,376.564,548.332,350.175,1269.128,464.456,797.038,735.183,294.380,482.946,371.925,418.116,525.431,54.007
523.585,597.462,854.404,336.937,500.056,350.036,315.099,412.564,359.493,530.936,374.269,1248.513,470.912,829.904,695.869,298.550,481.897,356.675,395.233,522.758,53.518
512.399,592.938,853.164,345.352,510.258,351.655,310.135,401.351,369.929,534.693,364.762,1202.529,477.939,863.356,720.068,305.555,478.768,394.800,457.163,528.780,51.880
533.443,586.586,861.117,343.024,503.933,348.909,316.288,425.713,355.086,523.446,369.519,1256.626,474.333,810.625,684.874,306.290,491.751,375.425,395.349,524.334,53.181
523.694,604.300,848.619,338.946,507.730,338.473,330.721,400.904,367.350,521.723,367.000,1190.690,479.061,800.712,705.220,301.675,464.059,397.700,422.767,521.650,50.413
531.350,593.788,853.849,333.133,547.742,356.091,307.595,376.468,356.014,534.792,361.800,1256.471,507.386,791.067,732.340,303.355,461.665,359.975,375.930,523.200,54.061
501.284,548.344,844.849,345.533,505.202,357.764,315.991,409.106,375.757,537.975,371.544,1230.396,448.711,841.096,697.497,298.165,486.254,340.775,426.674,520.154,52.534
522.126,607.967,846.441,341.584,523.022,329.109,314.063,399.543,369.214,530.594,351.169,1237.299,482.289,767.817,729.152,295.325,484.270,368.200,446.116,523.437,52.420
